season,week,team_id,opponent_team_id,points_for,points_against,result
2022,13,10,12,107.62,136.66,L
2022,13,12,10,136.66,107.62,W
2022,13,8,5,117.42,118.2,L
2022,13,5,8,118.2,117.42,W
2022,13,7,9,133.08,137.8,L
2022,13,9,7,137.8,133.08,W
2022,13,6,11,132.64,157.6,L
2022,13,11,6,157.6,132.64,W
2022,13,1,4,138.74,135.9,W
2022,13,4,1,135.9,138.74,L
2022,14,2,12,126.9,139.62,L
2022,14,12,2,139.62,126.9,W
2022,14,5,3,78.16,150.18,L
2022,14,3,5,150.18,78.16,W
2022,14,9,10,129.16,102.98,W
2022,14,10,9,102.98,129.16,L
2022,14,11,8,127.48,112.38,W
2022,14,8,11,112.38,127.48,L
2022,14,4,7,80.9,141.3,L
2022,14,7,4,141.3,80.9,W
2022,14,1,6,91.46,166.02,L
2022,14,6,1,166.02,91.46,W
2022,15,6,9,193.88,132.4,W
2022,15,9,6,132.4,193.88,L
2022,15,8,12,121.96,133.48,L
2022,15,12,8,133.48,121.96,W
2022,15,10,7,128.34,102.76,W
2022,15,7,10,102.76,128.34,L
2022,15,1,4,121.9,126.56,L
2022,15,4,1,126.56,121.9,W
2022,15,2,5,165.3,108.64,W
2022,15,5,2,108.64,165.3,L
2022,16,3,6,119.04,130.16,L
2022,16,6,3,130.16,119.04,W
2022,16,11,12,123.0,114.36,W
2022,16,12,11,114.36,123.0,L
2022,16,8,9,101.38,112.56,L
2022,16,9,8,112.56,101.38,W
2022,16,10,4,107.76,140.0,L
2022,16,4,10,140.0,107.76,W
2022,16,7,2,91.12,118.46,L
2022,16,2,7,118.46,91.12,W
2022,16,1,5,131.2,159.38,L
2022,16,5,1,159.38,131.2,W
2022,17,11,6,123.98,103.88,W
2022,17,6,11,103.88,123.98,L
2022,17,3,12,85.0,87.8,L
2022,17,12,3,87.8,85.0,W
2022,17,8,9,77.1,177.58,L
2022,17,9,8,177.58,77.1,W
2022,17,4,2,110.6,89.72,W
2022,17,2,4,89.72,110.6,L
2022,17,10,5,115.92,74.78,W
2022,17,5,10,74.78,115.92,L
2022,17,7,1,67.76,109.8,L
2022,17,1,7,109.8,67.76,W
2023,1,10,2,96.78,91.1,W
2023,1,2,10,91.1,96.78,L
2023,1,8,3,130.6,137.84,L
2023,1,3,8,137.84,130.6,W
2023,1,7,12,111.54,146.26,L
2023,1,12,7,146.26,111.54,W
2023,1,6,5,121.02,116.92,W
2023,1,5,6,116.92,121.02,L
2023,1,1,9,80.64,103.74,L
2023,1,9,1,103.74,80.64,W
2023,1,4,11,124.36,98.08,W
2023,1,11,4,98.08,124.36,L
2023,2,2,3,107.12,126.14,L
2023,2,3,2,126.14,107.12,W
2023,2,12,10,124.7,151.18,L
2023,2,10,12,151.18,124.7,W
2023,2,5,8,145.44,141.98,W
2023,2,8,5,141.98,145.44,L
2023,2,9,7,168.96,94.94,W
2023,2,7,9,94.94,168.96,L
2023,2,11,6,145.3,146.92,L
2023,2,6,11,146.92,145.3,W
2023,2,4,1,159.68,118.4,W
2023,2,1,4,118.4,159.68,L
2023,3,12,2,156.2,164.08,L
2023,3,2,12,164.08,156.2,W
2023,3,3,5,103.14,138.76,L
2023,3,5,3,138.76,103.14,W
2023,3,10,9,141.34,131.82,W
2023,3,9,10,131.82,141.34,L
2023,3,8,11,122.14,183.38,L
2023,3,11,8,183.38,122.14,W
2023,3,7,4,105.46,132.68,L
2023,3,4,7,132.68,105.46,W
2023,3,6,1,164.92,121.48,W
2023,3,1,6,121.48,164.92,L
2023,4,2,5,162.36,137.14,W
2023,4,5,2,137.14,162.36,L
2023,4,9,12,104.92,153.14,L
2023,4,12,9,153.14,104.92,W
2023,4,11,3,118.28,142.12,L
2023,4,3,11,142.12,118.28,W
2023,4,4,10,106.26,108.7,L
2023,4,10,4,108.7,106.26,W
2023,4,1,8,121.22,114.46,W
2023,4,8,1,114.46,121.22,L
2023,4,6,7,131.0,144.08,L
2023,4,7,6,144.08,131.0,W
2023,5,9,2,180.88,135.52,W
2023,5,2,9,135.52,180.88,L
2023,5,5,11,103.52,124.06,L
2023,5,11,5,124.06,103.52,W
2023,5,12,4,151.96,136.42,W
2023,5,4,12,136.42,151.96,L
2023,5,3,1,94.14,109.94,L
2023,5,1,3,109.94,94.14,W
2023,5,10,6,150.36,142.84,W
2023,5,6,10,142.84,150.36,L
2023,5,8,7,121.04,132.1,L
2023,5,7,8,132.1,121.04,W
2023,6,2,11,114.3,120.54,L
2023,6,11,2,120.54,114.3,W
2023,6,4,9,137.38,118.7,W
2023,6,9,4,118.7,137.38,L
2023,6,1,5,127.54,98.24,W
2023,6,5,1,98.24,127.54,L
2023,6,6,12,167.02,111.06,W
2023,6,12,6,111.06,167.02,L
2023,6,7,3,98.94,109.8,L
2023,6,3,7,109.8,98.94,W
2023,6,8,10,118.04,150.1,L
2023,6,10,8,150.1,118.04,W
2023,7,4,2,114.24,112.06,W
2023,7,2,4,112.06,114.24,L
2023,7,11,1,102.36,174.26,L
2023,7,1,11,174.26,102.36,W
