season,pick_number,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team,bid_amount,keeper,round
2022,80,4241463,Jerry Jeudy,WR,7.0,12,Shart City Poo Bums,6,False,
2022,81,8439,Aaron Rodgers,QB,9.0,7,Worst Cook,5,False,
2022,82,14881,,,,7,Worst Cook,4,False,
2022,83,4361411,Pat Freiermuth,TE,23.0,3,Kareemin' My Jeans,3,False,
2022,84,4036133,T.J. Hockenson,TE,16.0,5,One-cut Heroes,4,False,
2022,85,3128429,Courtland Sutton,WR,7.0,9,Slim Pickins,4,False,
2022,86,16460,Adam Thielen,WR,0.0,3,Kareemin' My Jeans,5,False,
2022,87,3045144,Tyler Boyd,WR,4.0,12,Shart City Poo Bums,1,False,
2022,88,4361307,,,,8,False Shart,2,False,
2022,89,4360238,Dameon Pierce,RB,34.0,3,Kareemin' My Jeans,2,False,
2022,90,12483,,,,11,Seattle  Ricks ,8,False,
2022,91,14880,Kirk Cousins,QB,16.0,11,Seattle  Ricks ,3,False,
2022,92,4040655,,,,10,Team Clucker Fuckers,2,False,
2022,93,4241555,Elijah Mitchell,RB,25.0,3,Kareemin' My Jeans,6,False,
2022,94,16799,Allen Robinson II,WR,14.0,3,Kareemin' My Jeans,3,False,
2022,95,3916148,Tony Pollard,RB,6.0,11,Seattle  Ricks ,3,False,
2022,96,3121023,Dallas Goedert,TE,21.0,8,False Shart,3,False,
2022,97,2976499,Amari Cooper,WR,5.0,3,Kareemin' My Jeans,2,False,
2022,98,4372414,,,,4,Greendale Human Beings,1,False,
2022,99,15795,DeAndre Hopkins,WR,22.0,11,Seattle  Ricks ,2,False,
2022,100,3059915,Kareem Hunt,RB,5.0,10,Team Clucker Fuckers,3,False,
2022,101,-16002,Bills D/ST,D/ST,2.0,6,Whos Yurdatty,3,False,
2022,102,3139925,,,,11,Seattle  Ricks ,3,False,
2022,103,4241464,,,,5,One-cut Heroes,3,False,
2022,104,3895856,Christian Kirk,WR,30.0,3,Kareemin' My Jeans,2,False,
2022,105,3925347,,,,3,Kareemin' My Jeans,1,False,
2022,106,4360939,,,,7,Worst Cook,1,False,
2022,107,15835,Zach Ertz,TE,22.0,3,Kareemin' My Jeans,2,False,
2022,108,15807,Cordarrelle Patterson,RB,1.0,8,False Shart,1,False,
2022,109,4241478,DeVonta Smith,WR,21.0,4,Greendale Human Beings,3,False,
2022,110,2577417,Dak Prescott,QB,6.0,5,One-cut Heroes,3,False,
2022,111,16757,Derek Carr,QB,18.0,1,D. Adams Family,2,False,
2022,112,15683,Justin Tucker,K,33.0,10,Team Clucker Fuckers,3,False,
2022,113,4360234,Evan McPherson,K,4.0,3,Kareemin' My Jeans,2,False,
2022,114,15880,,,,11,Seattle  Ricks ,3,False,
2022,115,-16009,,,,5,One-cut Heroes,1,False,
2022,116,4046692,,,,11,Seattle  Ricks ,3,False,
2022,117,-16018,Saints D/ST,D/ST,18.0,3,Kareemin' My Jeans,1,False,
2022,118,-16033,Ravens D/ST,D/ST,33.0,7,Worst Cook,1,False,
2022,119,3116164,Mike Gesicki,TE,17.0,5,One-cut Heroes,3,False,
2022,120,-16025,49ers D/ST,D/ST,25.0,8,False Shart,1,False,
2022,121,4240600,,,,2,Show Me Dem TDs,1,False,
2022,122,-16027,Buccaneers D/ST,D/ST,27.0,11,Seattle  Ricks ,2,False,
2022,123,3128390,Allen Lazard,WR,20.0,4,Greendale Human Beings,2,False,
2022,124,-16006,Cowboys D/ST,D/ST,6.0,10,Team Clucker Fuckers,1,False,
2022,125,3051738,Marquez Valdes-Scantling,WR,12.0,6,Whos Yurdatty,1,False,
2022,126,3051909,Daniel Carlson,K,13.0,11,Seattle  Ricks ,3,False,
2022,127,3124679,,,,5,One-cut Heroes,3,False,
2022,128,4569618,Garrett Wilson,WR,20.0,9,Slim Pickins,1,False,
2022,129,4036348,Michael Gallup,WR,6.0,7,Worst Cook,1,False,
2022,130,3046439,,,,12,Shart City Poo Bums,2,False,
2022,131,4383351,,,,8,False Shart,1,False,
2022,132,4258595,Cole Kmet,TE,3.0,2,Show Me Dem TDs,1,False,
2022,133,2576434,Melvin Gordon III,RB,0.0,9,Slim Pickins,2,False,
2022,134,4052042,,,,12,Shart City Poo Bums,1,False,
2022,135,4379399,James Cook,RB,2.0,10,Team Clucker Fuckers,1,False,
2022,136,2576414,Raheem Mostert,RB,15.0,4,Greendale Human Beings,2,False,
2022,137,4036131,Noah Fant,TE,26.0,11,Seattle  Ricks ,1,False,
2022,138,2574808,,,,5,One-cut Heroes,1,False,
2022,139,4361370,Chris Olave,WR,18.0,9,Slim Pickins,1,False,
2022,140,3916430,,,,6,Whos Yurdatty,2,False,
2022,141,2573401,Tyler Higbee,TE,14.0,1,D. Adams Family,1,False,
2022,142,16790,Jarvis Landry,WR,18.0,8,False Shart,1,False,
2022,143,-16011,Colts D/ST,D/ST,11.0,2,Show Me Dem TDs,1,False,
2022,144,2969939,,,,4,Greendale Human Beings,1,False,
2022,145,13982,,,,12,Shart City Poo Bums,1,False,
2022,146,4249087,,,,10,Team Clucker Fuckers,1,False,
2022,147,3055899,Harrison Butker,K,12.0,6,Whos Yurdatty,1,False,
2022,148,4371733,Kenneth Gainwell,RB,21.0,5,One-cut Heroes,1,False,
2022,149,4240657,Michael Carter,RB,20.0,9,Slim Pickins,1,False,
2022,150,3917232,Tyler Bass,K,2.0,7,Worst Cook,1,False,
2022,151,4567156,Treylon Burks,WR,10.0,1,D. Adams Family,1,False,
2022,152,4048244,Alexander Mattison,RB,16.0,7,Worst Cook,2,False,
2022,153,16339,Brandon McManus,K,7.0,2,Show Me Dem TDs,1,False,
2022,154,-16024,,,,4,Greendale Human Beings,1,False,
2022,155,11237,,,,12,Shart City Poo Bums,1,False,
2022,156,4360310,Trevor Lawrence,QB,30.0,6,Whos Yurdatty,1,False,
2022,157,2576623,,,,5,One-cut Heroes,1,False,
2022,158,4362887,Justin Fields,QB,3.0,9,Slim Pickins,1,False,
2022,159,2974858,,,,7,Worst Cook,1,False,
2022,160,4039359,,,,1,D. Adams Family,1,False,
2022,161,13981,,,,8,False Shart,1,False,
2022,162,3916433,Jakobi Meyers,WR,13.0,2,Show Me Dem TDs,1,False,
2022,163,10621,Nick Folk,K,17.0,4,Greendale Human Beings,1,False,
2022,164,3052587,,,,12,Shart City Poo Bums,1,False,
2022,165,2975674,,,,6,Whos Yurdatty,1,False,
2022,166,-16023,,,,9,Slim Pickins,1,False,
2022,167,4035004,,,,1,D. Adams Family,1,False,
2022,168,3975763,,,,8,False Shart,1,False,
2022,169,3115378,Russell Gage,WR,27.0,2,Show Me Dem TDs,1,False,
2022,170,4035886,Khalil Herbert,RB,3.0,4,Greendale Human Beings,1,False,
2022,171,3115394,DJ Chark,WR,8.0,12,Shart City Poo Bums,1,False,
2022,172,4040980,,,,6,Whos Yurdatty,1,False,
2022,173,3123076,David Njoku,TE,5.0,9,Slim Pickins,1,False,
2022,174,4426891,,,,1,D. Adams Family,1,False,
2022,175,2572861,,,,8,False Shart,1,False,
2022,176,-16015,,,,2,Show Me Dem TDs,1,False,
2022,177,15072,Marvin Jones Jr.,WR,30.0,4,Greendale Human Beings,1,False,
2022,178,4430191,,,,12,Shart City Poo Bums,1,False,
2022,179,11122,,,,9,Slim Pickins,1,False,
2022,180,16733,,,,1,D. Adams Family,1,False,
2022,181,4426354,George Pickens,WR,23.0,8,False Shart,1,False,
2022,182,12460,Graham Gano,K,19.0,2,Show Me Dem TDs,1,False,
2022,183,4241474,Brian Robinson Jr.,RB,28.0,12,Shart City Poo Bums,1,False,
2022,184,2980453,Jamaal Williams,RB,18.0,9,Slim Pickins,1,False,
2022,185,-16014,,,,1,D. Adams Family,1,False,
2022,186,15971,,,,8,False Shart,1,False,
2022,187,4373626,Tyler Allgeier,RB,1.0,2,Show Me Dem TDs,1,False,
2022,188,16782,Jerick McKinnon,RB,12.0,12,Shart City Poo Bums,1,False,
2022,189,12731,,,,1,D. Adams Family,1,False,
2022,190,3051876,Evan Engram,TE,30.0,2,Show Me Dem TDs,1,False,
2022,191,-16028,Commanders D/ST,D/ST,28.0,12,Shart City Poo Bums,1,False,
