season,week,team_id,player_id,player_name,position,lineup_slot_id,lineup_slot,is_starter,points
2022,1,12,-16010,Titans D/ST,D/ST,16,D/ST,True,9.0
2022,1,12,3043275,Austin Hooper,TE,20,BE,False,1.6
2022,1,12,4361409,Jahan Dotson,WR,20,BE,False,18.0
2022,1,12,2576414,Raheem Mostert,RB,20,BE,False,4.2
2022,1,12,4361432,Romeo Doubs,WR,23,FLEX,True,8.8
2022,1,12,15965,Dustin Hopkins,K,17,K,True,6.0
2022,1,12,2573079,Carson Wentz,QB,20,BE,False,36.72
2022,1,6,3116406,Tyreek Hill,WR,4,WR,True,18.0
2022,1,6,3916387,Lamar Jackson,QB,0,QB,True,29.22
2022,1,6,3126486,Deebo Samuel,WR,4,WR,True,12.6
2022,1,6,4569173,Rhamondre Stevenson,RB,2,RB,True,4.7
2022,1,6,3040151,George Kittle,TE,20,BE,False,0.0
2022,1,6,3135321,Hunter Renfrow,WR,23,FLEX,True,5.1
2022,1,6,4374302,Amon-Ra St. Brown,WR,20,BE,False,20.4
2022,1,6,3932905,Diontae Johnson,WR,23,FLEX,True,12.5
2022,1,6,4360294,Antonio Gibson,RB,2,RB,True,20.0
2022,1,6,-16002,Bills D/ST,D/ST,16,D/ST,True,18.0
2022,1,6,3051738,Marquez Valdes-Scantling,WR,20,BE,False,8.100000000000001
2022,1,6,3916430,Nyheim Hines,RB,20,BE,False,11.4
2022,1,6,3055899,Harrison Butker,K,17,K,True,9.0
2022,1,6,4360310,Trevor Lawrence,QB,20,BE,False,15.399999999999999
2022,1,6,2975674,Robert Tonyan,TE,6,TE,True,6.6
2022,1,6,4040980,Irv Smith Jr.,TE,20,BE,False,0.0
2022,1,5,4361579,Javonte Williams,RB,2,RB,True,19.8
2022,1,5,4241389,CeeDee Lamb,WR,4,WR,True,4.9
2022,1,5,4239934,AJ Dillon,RB,20,BE,False,20.1
2022,1,5,4247812,Lance McCutcheon,WR,23,FLEX,True,0.0
2022,1,5,4242214,Clyde Edwards-Helaire,RB,2,RB,True,22.4
2022,1,5,2576980,Marcus Mariota,QB,20,BE,False,19.799999999999997
2022,1,5,4243537,Gabe Davis,WR,4,WR,True,18.8
2022,1,5,4036133,T.J. Hockenson,TE,6,TE,True,7.800000000000001
2022,1,5,4241464,Mac Jones,QB,20,BE,False,10.52
2022,1,5,2577417,Dak Prescott,QB,0,QB,True,4.460000000000001
2022,1,5,-16009,Packers D/ST,D/ST,16,D/ST,True,1.0
2022,1,5,3116164,Mike Gesicki,TE,20,BE,False,1.1
2022,1,5,3124679,Jason Sanders,K,17,K,True,10.0
2022,1,5,2574808,Robbie Anderson,WR,20,BE,False,24.200000000000003
2022,1,5,4371733,Kenneth Gainwell,RB,23,FLEX,True,11.2
2022,1,5,2576623,DeVante Parker,WR,20,BE,False,1.9
2022,1,1,3045147,James Conner,RB,2,RB,True,16.5
2022,1,1,16800,Davante Adams,WR,4,WR,True,30.1
2022,1,1,4239993,Tee Higgins,WR,4,WR,True,4.7
2022,1,1,4240021,Cam Akers,RB,2,RB,True,0.0
2022,1,1,3121422,Terry McLaurin,WR,23,FLEX,True,14.8
2022,1,1,3915511,Joe Burrow,QB,0,QB,True,22.22
2022,1,1,4241985,J.K. Dobbins,RB,20,BE,False,0.0
2022,1,1,16757,Derek Carr,QB,20,BE,False,17.8
2022,1,1,2573401,Tyler Higbee,TE,6,TE,True,8.9
2022,1,1,4567156,Treylon Burks,WR,23,FLEX,True,8.5
2022,1,1,4039359,Darrell Henderson Jr.,RB,20,BE,False,12.299999999999999
2022,1,1,4035004,Mecole Hardman,WR,20,BE,False,10.6
2022,1,1,16733,Odell Beckham Jr.,WR,20,BE,False,0.0
2022,1,1,-16014,Rams D/ST,D/ST,16,D/ST,True,7.0
2022,1,1,12731,Ryan Succop,K,17,K,True,14.0
2022,1,1,4035115,Albert Okwuegbunam,TE,20,BE,False,8.3
2022,1,9,3117251,Christian McCaffrey,RB,2,RB,True,15.700000000000001
2022,1,9,15847,Travis Kelce,TE,6,TE,True,26.1
2022,1,9,16737,Mike Evans,WR,4,WR,True,18.1
2022,1,9,4047650,DK Metcalf,WR,4,WR,True,8.6
2022,1,9,3116165,Chris Godwin,WR,23,FLEX,True,6.5
2022,1,9,4040761,Devin Singletary,RB,2,RB,True,8.200000000000001
2022,1,9,3128429,Courtland Sutton,WR,23,FLEX,True,11.2
2022,1,9,4569618,Garrett Wilson,WR,20,BE,False,9.2
2022,1,9,2576434,Melvin Gordon III,RB,20,BE,False,7.200000000000001
2022,1,9,4361370,Chris Olave,WR,20,BE,False,9.100000000000001
2022,1,9,4240657,Michael Carter,RB,20,BE,False,17.0
2022,1,9,4362887,Justin Fields,QB,0,QB,True,20.64
2022,1,9,-16023,Steelers D/ST,D/ST,16,D/ST,True,23.0
2022,1,9,3123076,David Njoku,TE,20,BE,False,1.7000000000000002
2022,1,9,11122,Matt Prater,K,17,K,True,1.0
2022,1,9,2980453,Jamaal Williams,RB,20,BE,False,16.0
2022,1,4,4241457,Najee Harris,RB,2,RB,True,10.600000000000001
2022,1,4,3128720,Nick Chubb,RB,2,RB,True,15.3
2022,1,4,15818,Keenan Allen,WR,4,WR,True,10.600000000000001
2022,1,4,4372016,Jaylen Waddle,WR,4,WR,True,18.700000000000003
2022,1,4,4241479,Tua Tagovailoa,QB,0,QB,True,17.8
2022,1,4,3930086,Dawson Knox,TE,6,TE,True,1.5
2022,1,4,3119195,Chase Edmonds,RB,20,BE,False,10.5
2022,1,4,4372414,Elijah Moore,WR,23,FLEX,True,9.9
2022,1,4,4241478,DeVonta Smith,WR,23,FLEX,True,0.0
2022,1,4,3128390,Allen Lazard,WR,20,BE,False,0.0
2022,1,4,2969939,Jameis Winston,QB,20,BE,False,25.66
