season,team_id,week,slot,starter_name,starter_points,bench_alternative,bench_points,points_left_on_bench,team_name
2023,10,8,FLEX,Puka Nacua,7.3,Diontae Johnson,16.5,9.2,Team Clucker Fuckers
2022,5,9,FLEX,Isaiah McKenzie,4.1,James Robinson,13.3,9.2,One-cut Heroes
2024,3,11,WR,DeVonta Smith,6.9,Jordan Addison,16.1,9.2,Kareemin' My Jeans
2025,5,4,QB,Tua Tagovailoa,19.68,Baker Mayfield,28.86,9.18,One-cut Heroes
2023,9,4,FLEX,Mark Andrews,25.0,David Montgomery,34.1,9.1,Olivas - Alone
2025,12,7,FLEX,Kendrick Bourne,3.4000000000000004,Woody Marks,12.5,9.1,Blunder Bust 2000
2022,1,16,WR,Terry McLaurin,17.7,Tee Higgins,26.8,9.1,D. Adams Family
2024,1,14,FLEX,Tee Higgins,4.300000000000001,Christian Watson,13.4,9.1,LaPorta Potty
2024,4,1,RB,Gus Edwards,3.8000000000000003,Ezekiel Elliott,12.9,9.1,Greendale Human Beings
2022,9,8,FLEX,Chris Godwin,13.5,Jamaal Williams,22.6,9.1,Slim Pickins
2023,11,10,FLEX,James Cook,12.0,Trey McBride,21.1,9.1,Seattle  Ricks 
2024,4,11,QB,Lamar Jackson,16.88,Josh Allen,25.98,9.1,Greendale Human Beings
2025,6,5,FLEX,Tre Tucker,11.100000000000001,Sam LaPorta,20.200000000000003,9.1,Whos Yurdatty
2024,5,1,QB,Joe Burrow,8.06,Patrick Mahomes,17.14,9.08,One-cut Heroes
2023,7,10,D/ST,Chargers D/ST,-9.0,Eagles D/ST,0.0,9.0,Put it Justin??
2022,1,16,D/ST,Seahawks D/ST,3.0,Patriots D/ST,12.0,9.0,D. Adams Family
2025,8,11,FLEX,D'Andre Swift,9.0,Ty Johnson,18.0,9.0,Run CMC
2025,11,16,TE,Colston Loveland,6.0,AJ Barner,15.0,9.0,Seattle  Ricks 
2024,2,16,K,Jake Bates,9.0,Jake Elliott,18.0,9.0,Show Me Dem TDs
2023,1,8,FLEX,Ezekiel Elliott,3.6,Jaxon Smith-Njigba,12.6,9.0,MaChungus
2025,8,10,WR,Michael Pittman Jr.,3.9000000000000004,Darius Slayton,12.9,9.0,Run CMC
2025,8,10,WR,Keenan Allen,3.9000000000000004,Darius Slayton,12.9,9.0,Run CMC
2025,10,17,D/ST,Cowboys D/ST,2.0,Lions D/ST,11.0,9.0,Team Clucker Fuckers
2024,12,14,D/ST,Bills D/ST,-7.0,Packers D/ST,2.0,9.0,El Ultimo Hombre
2023,9,14,K,Cameron Dicker,1.0,Evan McPherson,10.0,9.0,Olivas - Alone
2023,3,17,WR,Stefon Diggs,7.1,Terry McLaurin,16.1,9.0,Kareemin' My Jeans
2023,3,8,FLEX,Christian Kirk,8.600000000000001,Garrett Wilson,17.6,9.0,Kareemin' My Jeans
2024,4,17,K,Nick Folk,0.0,Justin Tucker,9.0,9.0,Greendale Human Beings
2024,1,13,WR,Malik Nabers,15.3,Keenan Allen,24.3,9.0,LaPorta Potty
2024,8,5,FLEX,Chase Brown,16.400000000000002,Alec Pierce,25.4,9.0,Here's to you
2023,9,1,K,Evan McPherson,3.0,Cameron Dicker,12.0,9.0,Olivas - Alone
2025,6,12,D/ST,Ravens D/ST,12.0,Rams D/ST,21.0,9.0,Whos Yurdatty
2022,8,16,RB,D'Andre Swift,3.5,Chuba Hubbard,12.5,9.0,False Shart
2024,12,16,WR,Jakobi Meyers,6.1000000000000005,Josh Downs,15.100000000000001,9.0,El Ultimo Hombre
2025,1,14,FLEX,Chris Olave,6.0,Kyle Pitts Sr.,15.0,9.0,"Two Gibbs, One Kupp"
2022,5,13,FLEX,Nico Collins,12.5,Samaje Perine,21.5,9.0,One-cut Heroes
2024,9,13,FLEX,Drake London,17.299999999999997,David Njoku,26.2,8.9,Cartel Del Taco
2024,2,7,FLEX,Jerry Jeudy,2.8,Ray Davis,11.700000000000001,8.9,Show Me Dem TDs
2023,7,3,FLEX,Brandon Aiyuk,0.0,Tyler Boyd,8.9,8.9,Put it Justin??
2024,11,1,WR,Brandon Aiyuk,4.800000000000001,Tyler Lockett,13.7,8.9,Seattle  Ricks 
2022,9,9,WR,Mike Evans,9.0,Garrett Wilson,17.9,8.9,Slim Pickins
2023,1,14,FLEX,Javonte Williams,18.1,Ezekiel Elliott,27.0,8.9,MaChungus
2024,5,11,FLEX,Darnell Mooney,4.7,Brian Thomas Jr.,13.600000000000001,8.9,One-cut Heroes
2025,4,7,RB,Rico Dowdle,10.600000000000001,Zach Charbonnet,19.5,8.9,Flipadelphia Cheesestoinks
2025,7,8,FLEX,Quentin Johnston,0.0,Nick Chubb,8.9,8.9,Allen to this!
2025,9,17,WR,Tetairoa McMillan,1.5,Jerry Jeudy,10.4,8.9,Cartel Del Taco
2023,7,1,WR,Justin Jefferson,24.0,Brandon Aiyuk,32.9,8.9,Put it Justin??
2025,8,2,WR,Brian Thomas Jr.,8.9,George Pickens,17.8,8.9,Run CMC
2023,7,16,TE,Darren Waller,5.2,Dallas Goedert,14.100000000000001,8.9,Put it Justin??
2023,1,12,FLEX,Javonte Williams,10.1,Curtis Samuel,19.0,8.9,MaChungus
2025,11,11,TE,Zach Ertz,8.2,AJ Barner,17.1,8.9,Seattle  Ricks 
2023,3,10,QB,Zach Wilson,13.92,Russell Wilson,22.72,8.8,Kareemin' My Jeans
2023,12,12,WR,DK Metcalf,6.2,Jayden Reed,15.0,8.8,El Ultimo Hombre
2022,2,13,FLEX,Tyler Allgeier,5.2,Jerick McKinnon,14.000000000000002,8.8,Show Me Dem TDs
2023,10,1,FLEX,Cam Akers,8.9,Zay Flowers,17.700000000000003,8.8,Team Clucker Fuckers
