season,team_id,week,slot,starter_name,starter_points,bench_alternative,bench_points,points_left_on_bench,team_name
2024,2,17,QB,Jalen Hurts,0.0,Baker Mayfield,44.56,44.56,Show Me Dem TDs
2023,8,15,QB,Joshua Dobbs,0.0,Baker Mayfield,40.04,40.04,False Shart
2022,5,4,FLEX,Gabe Davis,2.3,T.J. Hockenson,39.900000000000006,37.6,One-cut Heroes
2023,4,16,FLEX,DeAndre Hopkins,4.0,George Pickens,41.5,37.5,Greendale Human Beings
2022,11,15,QB,Justin Herbert,8.719999999999999,Kirk Cousins,45.400000000000006,36.68,Seattle  Ricks 
2025,1,15,FLEX,Cooper Kupp,9.600000000000001,Kyle Pitts Sr.,45.6,36.0,"Two Gibbs, One Kupp"
2023,6,5,FLEX,Jayden Reed,1.7000000000000002,Zack Moss,36.5,34.8,Whos Yurdatty
2022,5,5,FLEX,AJ Dillon,3.4000000000000004,Gabe Davis,38.1,34.7,One-cut Heroes
2024,6,17,WR,Marquez Valdes-Scantling,0.0,Marvin Mims Jr.,33.2,33.2,Whos Yurdatty
2023,4,14,QB,Tua Tagovailoa,9.1,Lamar Jackson,41.64,32.54,Greendale Human Beings
2022,5,5,FLEX,Corey Davis,5.800000000000001,Gabe Davis,38.1,32.3,One-cut Heroes
2025,1,15,TE,Travis Kelce,14.0,Kyle Pitts Sr.,45.6,31.6,"Two Gibbs, One Kupp"
2023,9,12,QB,Brock Purdy,12.459999999999999,Josh Allen,43.660000000000004,31.2,Olivas - Alone
2022,11,11,FLEX,D'Onta Foreman,2.4000000000000004,Joshua Palmer,33.6,31.2,Seattle  Ricks 
2023,11,13,QB,Justin Herbert,7.98,Geno Smith,38.96,30.98,Seattle  Ricks 
2023,4,16,FLEX,Isiah Pacheco,10.6,George Pickens,41.5,30.9,Greendale Human Beings
2022,5,4,FLEX,AJ Dillon,9.4,T.J. Hockenson,39.900000000000006,30.5,One-cut Heroes
2023,9,4,RB,Antonio Gibson,3.6000000000000005,David Montgomery,34.1,30.5,Olivas - Alone
2025,9,4,RB,Jaylen Warren,0.0,Omarion Hampton,30.5,30.5,Cartel Del Taco
2022,1,16,FLEX,Chris Olave,0.0,Tyler Higbee,30.4,30.4,D. Adams Family
2022,5,5,WR,Robert Woods,7.7,Gabe Davis,38.1,30.4,One-cut Heroes
2022,5,4,TE,David Njoku,9.700000000000001,T.J. Hockenson,39.900000000000006,30.2,One-cut Heroes
2024,10,17,QB,Cooper Rush,8.08,Jayden Daniels,37.78,29.7,Team Clucker Fuckers
2023,4,8,WR,George Pickens,9.2,DeAndre Hopkins,38.8,29.6,Greendale Human Beings
2024,7,8,QB,Geno Smith,8.08,Kirk Cousins,37.64,29.56,Cee Dees in the Face
2025,5,8,QB,Baker Mayfield,4.08,Tua Tagovailoa,33.2,29.12,One-cut Heroes
2025,5,3,FLEX,Jauan Jennings,0.0,Hunter Henry,29.0,29.0,One-cut Heroes
2023,4,1,QB,Lamar Jackson,6.5600000000000005,Tua Tagovailoa,35.14,28.58,Greendale Human Beings
2024,5,5,FLEX,Deebo Samuel Sr.,3.0,Darnell Mooney,31.5,28.5,One-cut Heroes
2023,8,10,FLEX,Marquise Brown,3.8000000000000003,Brandin Cooks,32.3,28.5,False Shart
2024,5,4,RB,Cam Akers,5.300000000000001,Kenneth Walker III,33.6,28.3,One-cut Heroes
2024,3,7,FLEX,DeAndre Hopkins,0.8,Rachaad White,29.1,28.3,Kareemin' My Jeans
2025,6,7,QB,C.J. Stroud,15.66,Bo Nix,43.96,28.3,Whos Yurdatty
2024,10,16,QB,Cooper Rush,17.28,Jayden Daniels,45.42,28.14,Team Clucker Fuckers
2022,5,5,WR,CeeDee Lamb,10.3,Gabe Davis,38.1,27.8,One-cut Heroes
2023,6,5,FLEX,Tutu Atwell,8.9,Zack Moss,36.5,27.6,Whos Yurdatty
2023,9,16,QB,Brock Purdy,2.4000000000000004,Josh Allen,29.98,27.58,Olivas - Alone
2023,4,7,QB,Tua Tagovailoa,12.34,Lamar Jackson,39.88,27.54,Greendale Human Beings
2025,10,14,QB,Daniel Jones,0.7999999999999998,Sam Darnold,28.26,27.46,Team Clucker Fuckers
2025,9,9,QB,Drake Maye,20.36,Caleb Williams,47.7,27.34,Cartel Del Taco
2022,3,4,FLEX,Amari Cooper,1.9,Dameon Pierce,28.900000000000002,27.0,Kareemin' My Jeans
2025,9,7,D/ST,Steelers D/ST,-3.0,Browns D/ST,24.0,27.0,Cartel Del Taco
2025,5,11,FLEX,Xavier Worthy,5.5,TreVeyon Henderson,32.3,26.8,One-cut Heroes
2025,3,16,FLEX,Bam Knight,0.0,Parker Washington,26.5,26.5,Shooting Ropes💦
2022,3,17,FLEX,Ja'Marr Chase,0.0,Amari Cooper,26.5,26.5,Kareemin' My Jeans
2023,7,1,FLEX,Darren Waller,6.6,Brandon Aiyuk,32.9,26.3,Put it Justin??
2023,4,8,FLEX,Kendrick Bourne,12.6,DeAndre Hopkins,38.8,26.2,Greendale Human Beings
2023,5,9,FLEX,Josh Downs,2.0,Rachaad White,27.900000000000002,25.9,One-cut Heroes
2022,8,8,FLEX,George Pickens,0.0,Tyler Conklin,25.9,25.9,False Shart
2023,4,8,WR,Mike Evans,12.9,DeAndre Hopkins,38.8,25.9,Greendale Human Beings
2022,9,2,FLEX,Devin Singletary,4.1000000000000005,Garrett Wilson,30.0,25.9,Slim Pickins
2025,12,4,FLEX,Ladd McConkey,2.1,Woody Marks,27.9,25.8,Blunder Bust 2000
2025,3,13,QB,Joe Flacco,0.0,Trevor Lawrence,25.66,25.66,Shooting Ropes💦
2023,8,4,QB,Kenny Pickett,3.460000000000001,Baker Mayfield,28.939999999999998,25.48,False Shart
2024,12,17,TE,Evan Engram,0.0,Zach Ertz,25.2,25.2,El Ultimo Hombre
2024,6,17,FLEX,George Pickens,8.0,Marvin Mims Jr.,33.2,25.2,Whos Yurdatty
2024,3,7,RB,Austin Ekeler,4.0,Rachaad White,29.1,25.1,Kareemin' My Jeans
2025,12,4,FLEX,Kayshon Boutte,2.8,Woody Marks,27.9,25.1,Blunder Bust 2000
2025,1,15,FLEX,Chris Olave,20.5,Kyle Pitts Sr.,45.6,25.1,"Two Gibbs, One Kupp"
2025,1,5,FLEX,Jameson Williams,2.0,Jacory Croskey-Merritt,27.0,25.0,"Two Gibbs, One Kupp"
2025,9,3,FLEX,Xavier Worthy,0.0,Omarion Hampton,24.9,24.9,Cartel Del Taco
2024,8,16,FLEX,Khalil Shakir,4.2,Jameson Williams,29.0,24.8,Here's to you
2023,12,15,FLEX,Nico Collins,0.0,Ty Chandler,24.700000000000003,24.7,El Ultimo Hombre
2023,12,15,RB,Alexander Mattison,0.0,Ty Chandler,24.700000000000003,24.7,El Ultimo Hombre
2022,11,16,QB,Justin Herbert,5.5,Kirk Cousins,30.16,24.66,Seattle  Ricks 
2025,8,6,FLEX,Michael Pittman Jr.,4.0,D'Andre Swift,28.5,24.5,Run CMC
2023,12,16,QB,C.J. Stroud,0.0,Kyler Murray,24.400000000000002,24.4,El Ultimo Hombre
2022,9,12,FLEX,Mike Evans,5.1,Garrett Wilson,29.4,24.3,Slim Pickins
2025,11,5,TE,Zach Ertz,0.0,AJ Barner,24.3,24.3,Seattle  Ricks 
2023,5,9,FLEX,Chris Godwin,3.6,Rachaad White,27.900000000000002,24.3,One-cut Heroes
2023,6,8,QB,Jared Goff,14.68,Sam Howell,38.980000000000004,24.3,Whos Yurdatty
2022,5,1,FLEX,Lance McCutcheon,0.0,Robbie Anderson,24.200000000000003,24.2,One-cut Heroes
2023,5,4,FLEX,Damien Harris,2.9000000000000004,DJ Moore,27.1,24.2,One-cut Heroes
2023,9,4,QB,Brock Purdy,23.32,Josh Allen,47.5,24.18,Olivas - Alone
2024,10,17,FLEX,Isiah Pacheco,1.8,Michael Pittman Jr.,25.9,24.1,Team Clucker Fuckers
2023,3,1,FLEX,Terry McLaurin,5.1,Jakobi Meyers,29.1,24.0,Kareemin' My Jeans
2023,4,8,FLEX,Amari Cooper,14.9,DeAndre Hopkins,38.8,23.9,Greendale Human Beings
2022,3,17,FLEX,Adam Thielen,2.6,Amari Cooper,26.5,23.9,Kareemin' My Jeans
2023,8,16,QB,Joshua Dobbs,0.0,Baker Mayfield,23.82,23.82,False Shart
2024,4,5,QB,Josh Allen,17.64,Lamar Jackson,41.42,23.78,Greendale Human Beings
2023,6,8,FLEX,Jauan Jennings,0.0,Gabe Davis,23.700000000000003,23.7,Whos Yurdatty
2024,1,15,QB,C.J. Stroud,15.64,Aaron Rodgers,39.06,23.42,LaPorta Potty
2022,1,16,WR,Davante Adams,3.5,Tee Higgins,26.8,23.3,D. Adams Family
2023,8,11,FLEX,Marquise Brown,3.2,Jaylen Warren,26.5,23.3,False Shart
2023,4,4,FLEX,Amari Cooper,2.6,Isiah Pacheco,25.8,23.2,Greendale Human Beings
2025,8,4,QB,Geno Smith,13.780000000000001,Dak Prescott,36.96,23.18,Run CMC
2025,5,11,FLEX,Ashton Jeanty,9.4,TreVeyon Henderson,32.3,22.9,One-cut Heroes
2023,10,16,QB,Gardner Minshew,9.14,Derek Carr,31.96,22.82,Team Clucker Fuckers
2025,11,11,FLEX,Zach Charbonnet,6.7,Kenneth Gainwell,29.5,22.8,Seattle  Ricks 
2025,8,7,FLEX,Brian Thomas Jr.,6.1,Keenan Allen,28.9,22.8,Run CMC
2022,9,17,RB,Devin Singletary,0.0,Jamaal Williams,22.7,22.7,Slim Pickins
2024,7,3,TE,Dalton Schultz,3.1,Cole Kmet,25.700000000000003,22.6,Cee Dees in the Face
2025,1,8,RB,Jacory Croskey-Merritt,2.5,RJ Harvey,25.1,22.6,"Two Gibbs, One Kupp"
2022,9,2,WR,DK Metcalf,7.5,Garrett Wilson,30.0,22.5,Slim Pickins
2023,8,10,FLEX,Gus Edwards,9.8,Brandin Cooks,32.3,22.5,False Shart
2022,3,17,WR,Christian Kirk,4.1,Amari Cooper,26.5,22.4,Kareemin' My Jeans
2024,10,11,QB,Jayden Daniels,15.440000000000001,Bo Nix,37.78,22.34,Team Clucker Fuckers
2025,5,3,FLEX,James Conner,6.7,Hunter Henry,29.0,22.3,One-cut Heroes
2022,1,8,WR,Davante Adams,1.2000000000000002,Rondale Moore,23.4,22.2,D. Adams Family
2025,5,3,TE,Tyler Warren,6.800000000000001,Hunter Henry,29.0,22.2,One-cut Heroes
2025,10,9,QB,Daniel Jones,16.08,Sam Darnold,38.2,22.12,Team Clucker Fuckers
2025,4,2,FLEX,Aaron Jones Sr.,2.3000000000000003,Tucker Kraft,24.4,22.1,Flipadelphia Cheesestoinks
2024,9,15,FLEX,Marvin Harrison Jr.,5.2,Tyjae Spears,27.200000000000003,22.0,Cartel Del Taco
2023,5,9,RB,Bijan Robinson,5.9,Rachaad White,27.900000000000002,22.0,One-cut Heroes
2025,6,13,WR,Zay Flowers,0.6000000000000001,Terry McLaurin,22.6,22.0,Whos Yurdatty
2025,11,11,QB,Justin Herbert,3.34,Brock Purdy,25.3,21.96,Seattle  Ricks 
2022,4,3,RB,Javonte Williams,9.0,Khalil Herbert,30.900000000000002,21.9,Greendale Human Beings
2024,10,17,FLEX,Devin Singletary,4.0,Michael Pittman Jr.,25.9,21.9,Team Clucker Fuckers
2024,8,1,FLEX,Chase Brown,5.3,Isaiah Likely,27.1,21.8,Here's to you
2024,5,4,RB,Josh Jacobs,11.8,Kenneth Walker III,33.6,21.8,One-cut Heroes
2023,7,1,WR,Michael Thomas,11.100000000000001,Brandon Aiyuk,32.9,21.8,Put it Justin??
2025,6,11,RB,Kareem Hunt,13.200000000000001,Sean Tucker,35.0,21.8,Whos Yurdatty
2024,2,16,QB,Jalen Hurts,4.540000000000001,Baker Mayfield,26.32,21.78,Show Me Dem TDs
2025,12,16,FLEX,Woody Marks,0.0,Tyjae Spears,21.5,21.5,Blunder Bust 2000
2024,6,3,TE,Trey McBride,5.5,Dallas Goedert,27.0,21.5,Whos Yurdatty
2024,4,15,FLEX,Cooper Kupp,0.0,Jerome Ford,21.4,21.4,Greendale Human Beings
2023,6,9,FLEX,Zack Moss,2.6,Jonnu Smith,24.0,21.4,Whos Yurdatty
2025,11,11,RB,Rachaad White,8.200000000000001,Kenneth Gainwell,29.5,21.3,Seattle  Ricks 
2023,8,17,QB,Joshua Dobbs,0.0,Baker Mayfield,21.259999999999998,21.26,False Shart
2023,3,5,QB,Russell Wilson,22.740000000000002,Justin Fields,43.980000000000004,21.24,Kareemin' My Jeans
2022,10,1,FLEX,Darnell Mooney,1.8,Kareem Hunt,23.0,21.2,Team Clucker Fuckers
2023,7,1,FLEX,J.K. Dobbins,11.7,Brandon Aiyuk,32.9,21.2,Put it Justin??
2024,4,3,FLEX,Ezekiel Elliott,2.2,Rome Odunze,23.4,21.2,Greendale Human Beings
2023,3,2,QB,Justin Fields,16.74,Russell Wilson,37.92,21.18,Kareemin' My Jeans
2022,8,17,QB,Josh Allen,0.0,Geno Smith,21.12,21.12,False Shart
2024,6,3,FLEX,Tony Pollard,5.9,Dallas Goedert,27.0,21.1,Whos Yurdatty
2022,1,4,RB,Cam Akers,1.3,J.K. Dobbins,22.3,21.0,D. Adams Family
2024,1,13,WR,Tank Dell,3.3000000000000003,Keenan Allen,24.3,21.0,LaPorta Potty
2024,9,7,FLEX,Marvin Harrison Jr.,5.1,Javonte Williams,26.1,21.0,Cartel Del Taco
2023,9,4,RB,Brian Robinson Jr.,13.1,David Montgomery,34.1,21.0,Olivas - Alone
2022,9,2,WR,Mike Evans,9.100000000000001,Garrett Wilson,30.0,20.9,Slim Pickins
2024,3,7,FLEX,Dalton Kincaid,8.2,Rachaad White,29.1,20.9,Kareemin' My Jeans
2023,11,1,FLEX,Tyler Lockett,3.0,Michael Pittman Jr.,23.700000000000003,20.7,Seattle  Ricks 
2023,6,5,RB,Raheem Mostert,15.8,Zack Moss,36.5,20.7,Whos Yurdatty
2023,5,15,FLEX,Josh Downs,4.9,Chris Godwin,25.5,20.6,One-cut Heroes
2022,12,3,WR,Jahan Dotson,3.0,Tyler Boyd,23.5,20.5,Shart City Poo Bums
2024,7,6,TE,Tucker Kraft,3.5,Cole Kmet,24.0,20.5,Cee Dees in the Face
2025,11,17,FLEX,Troy Franklin,5.7,Zach Charbonnet,26.2,20.5,Seattle  Ricks 
2022,5,13,RB,James Robinson,1.0,Samaje Perine,21.5,20.5,One-cut Heroes
2025,9,10,FLEX,Rhamondre Stevenson,0.0,Breece Hall,20.5,20.5,Cartel Del Taco
2025,6,11,RB,Bam Knight,14.5,Sean Tucker,35.0,20.5,Whos Yurdatty
2024,6,6,QB,Dak Prescott,3.2199999999999998,Justin Fields,23.7,20.48,Whos Yurdatty
2025,5,12,WR,Josh Downs,3.0,DJ Moore,23.4,20.4,One-cut Heroes
2022,9,12,FLEX,Devin Singletary,9.0,Garrett Wilson,29.4,20.4,Slim Pickins
2025,9,7,WR,Jerry Jeudy,3.7,Travis Hunter,24.1,20.4,Cartel Del Taco
2024,9,13,TE,T.J. Hockenson,5.800000000000001,David Njoku,26.2,20.4,Cartel Del Taco
2022,7,17,FLEX,Joe Mixon,0.0,Cordarrelle Patterson,20.4,20.4,Worst Cook
2024,4,4,QB,Josh Allen,7.300000000000001,Lamar Jackson,27.64,20.34,Greendale Human Beings
2025,6,11,FLEX,Tre Tucker,14.7,Sean Tucker,35.0,20.3,Whos Yurdatty
2022,9,8,FLEX,Courtland Sutton,2.3,Jamaal Williams,22.6,20.3,Slim Pickins
2024,1,4,RB,J.K. Dobbins,9.2,D'Andre Swift,29.5,20.3,LaPorta Potty
2023,3,15,FLEX,Garrett Wilson,5.9,Terry McLaurin,26.1,20.2,Kareemin' My Jeans
2023,11,15,RB,Josh Jacobs,0.0,Kenneth Walker III,20.200000000000003,20.2,Seattle  Ricks 
2022,10,17,QB,Patrick Mahomes,31.520000000000003,Tom Brady,51.68,20.16,Team Clucker Fuckers
2023,3,10,RB,Miles Sanders,3.0,Devin Singletary,23.1,20.1,Kareemin' My Jeans
2025,12,15,RB,Quinshon Judkins,4.699999999999999,Tyrone Tracy Jr.,24.7,20.0,Blunder Bust 2000
2024,2,9,FLEX,Jalen McMillan,0.0,Ray Davis,20.0,20.0,Show Me Dem TDs
2025,6,14,FLEX,Terry McLaurin,7.1000000000000005,Blake Corum,27.1,20.0,Whos Yurdatty
2024,12,15,D/ST,Bills D/ST,-4.0,Packers D/ST,16.0,20.0,El Ultimo Hombre
2024,8,17,FLEX,Khalil Shakir,5.5,Jameson Williams,25.5,20.0,Here's to you
2023,10,9,FLEX,Zay Flowers,2.1,Diontae Johnson,22.0,19.9,Team Clucker Fuckers
2022,12,15,FLEX,DJ Chark,2.8,Juwan Johnson,22.7,19.9,Shart City Poo Bums
2025,1,2,QB,Patrick Mahomes,25.080000000000002,Jared Goff,44.96,19.88,"Two Gibbs, One Kupp"
2023,5,17,QB,Matthew Stafford,14.579999999999998,Jordan Love,34.44,19.86,One-cut Heroes
2025,8,6,RB,James Cook III,8.700000000000001,D'Andre Swift,28.5,19.8,Run CMC
2025,12,17,WR,Marvin Harrison Jr.,0.0,Jayden Higgins,19.8,19.8,Blunder Bust 2000
2023,12,17,WR,Ja'Marr Chase,7.1000000000000005,Jayden Reed,26.9,19.8,El Ultimo Hombre
2023,5,15,FLEX,Saquon Barkley,5.700000000000001,Chris Godwin,25.5,19.8,One-cut Heroes
2025,12,17,FLEX,Taysom Hill,0.0,Jayden Higgins,19.8,19.8,Blunder Bust 2000
2022,12,3,FLEX,Jerry Jeudy,3.7,Tyler Boyd,23.5,19.8,Shart City Poo Bums
2022,11,6,WR,Tyler Lockett,3.7,Chase Claypool,23.400000000000002,19.7,Seattle  Ricks 
2025,6,11,FLEX,Tee Higgins,15.3,Sean Tucker,35.0,19.7,Whos Yurdatty
2024,4,13,TE,George Kittle,1.7000000000000002,Jonnu Smith,21.3,19.6,Greendale Human Beings
2024,5,2,QB,Patrick Mahomes,17.94,Kyler Murray,37.54,19.6,One-cut Heroes
2024,6,12,WR,George Pickens,8.8,Jaylen Waddle,28.4,19.6,Whos Yurdatty
2024,9,16,RB,Brian Robinson Jr.,2.1000000000000005,Tyjae Spears,21.6,19.5,Cartel Del Taco
2022,12,1,QB,Matt Ryan,17.28,Carson Wentz,36.72,19.44,Shart City Poo Bums
2023,8,14,QB,Joshua Dobbs,4.62,Baker Mayfield,24.06,19.44,False Shart
2025,3,15,FLEX,Bam Knight,-0.2,Mike Evans,19.200000000000003,19.4,Shooting Ropes💦
2022,2,11,WR,JuJu Smith-Schuster,0.0,Wan'Dale Robinson,19.4,19.4,Show Me Dem TDs
2025,11,17,RB,Kenneth Gainwell,6.8,Zach Charbonnet,26.2,19.4,Seattle  Ricks 
2022,5,12,RB,James Robinson,0.0,Samaje Perine,19.3,19.3,One-cut Heroes
2022,5,1,WR,CeeDee Lamb,4.9,Robbie Anderson,24.200000000000003,19.3,One-cut Heroes
2024,7,4,FLEX,Quentin Johnston,2.3,Justice Hill,21.6,19.3,Cee Dees in the Face
2024,12,3,FLEX,Calvin Ridley,1.9,Jakobi Meyers,21.2,19.3,El Ultimo Hombre
2023,4,4,RB,James Conner,6.6000000000000005,Isiah Pacheco,25.8,19.2,Greendale Human Beings
2022,6,17,FLEX,Zay Jones,5.4,Dalton Schultz,24.6,19.2,Whos Yurdatty
2025,3,16,FLEX,Adonai Mitchell,7.3,Parker Washington,26.5,19.2,Shooting Ropes💦
2022,12,3,WR,Justin Jefferson,4.4,Tyler Boyd,23.5,19.1,Shart City Poo Bums
2022,7,1,QB,Aaron Rodgers,3.6999999999999993,Russell Wilson,22.799999999999997,19.1,Worst Cook
2025,1,17,RB,Jahmyr Gibbs,6.4,Jacory Croskey-Merritt,25.5,19.1,"Two Gibbs, One Kupp"
2022,9,3,RB,Michael Carter,5.6000000000000005,Jamaal Williams,24.700000000000003,19.1,Slim Pickins
2022,7,4,RB,Dalvin Cook,10.600000000000001,Miles Sanders,29.599999999999998,19.0,Worst Cook
2025,3,17,FLEX,Bam Knight,0.0,Parker Washington,19.0,19.0,Shooting Ropes💦
2022,7,17,TE,Dawson Knox,0.0,Mark Andrews,19.0,19.0,Worst Cook
2025,6,1,FLEX,Matthew Golden,3.6,Deebo Samuel,22.6,19.0,Whos Yurdatty
2023,12,17,FLEX,Calvin Ridley,7.9,Jayden Reed,26.9,19.0,El Ultimo Hombre
2025,9,14,QB,Drake Maye,0.0,Caleb Williams,18.94,18.94,Cartel Del Taco
2023,3,5,FLEX,DeVonta Smith,1.6,Jakobi Meyers,20.5,18.9,Kareemin' My Jeans
2025,7,1,FLEX,Jerome Ford,1.5,Javonte Williams,20.4,18.9,Allen to this!
2025,6,13,FLEX,Oronde Gadsden,3.7,Terry McLaurin,22.6,18.9,Whos Yurdatty
2022,11,16,FLEX,Joshua Palmer,3.6,D'Onta Foreman,22.5,18.9,Seattle  Ricks 
2024,3,7,RB,Nick Chubb,10.2,Rachaad White,29.1,18.9,Kareemin' My Jeans
2022,12,15,RB,Jonathan Taylor,2.3,Latavius Murray,21.2,18.9,Shart City Poo Bums
2025,7,7,TE,Darren Waller,0.0,Dalton Schultz,18.8,18.8,Allen to this!
2025,7,7,FLEX,Mike Evans,0.0,Dalton Schultz,18.8,18.8,Allen to this!
2023,4,4,FLEX,Mike Evans,7.0,Isiah Pacheco,25.8,18.8,Greendale Human Beings
2023,5,14,QB,Jordan Love,10.920000000000002,Matthew Stafford,29.66,18.74,One-cut Heroes
2025,5,10,RB,Ashton Jeanty,15.3,TreVeyon Henderson,34.0,18.7,One-cut Heroes
2022,5,15,RB,Kenneth Gainwell,3.4,AJ Dillon,22.1,18.7,One-cut Heroes
2024,4,16,FLEX,Cooper Kupp,5.4,Jerome Ford,24.1,18.7,Greendale Human Beings
2022,5,15,RB,Samaje Perine,3.4000000000000004,AJ Dillon,22.1,18.7,One-cut Heroes
2024,6,12,WR,Tyreek Hill,9.8,Jaylen Waddle,28.4,18.6,Whos Yurdatty
2025,1,8,RB,Alvin Kamara,6.5,RJ Harvey,25.1,18.6,"Two Gibbs, One Kupp"
2025,7,13,WR,Rome Odunze,2.8,Christian Watson,21.3,18.5,Allen to this!
2025,9,4,FLEX,Kenneth Walker III,12.0,Omarion Hampton,30.5,18.5,Cartel Del Taco
2025,8,13,FLEX,Michael Pittman Jr.,2.3,D'Andre Swift,20.8,18.5,Run CMC
2025,6,15,QB,Lamar Jackson,18.6,Bo Nix,37.08,18.48,Whos Yurdatty
2025,1,15,QB,Patrick Mahomes,13.06,Jared Goff,31.52,18.46,"Two Gibbs, One Kupp"
2024,4,3,WR,Tyler Johnson,5.0,Rome Odunze,23.4,18.4,Greendale Human Beings
2022,11,2,FLEX,Rashaad Penny,1.5,Tony Pollard,19.8,18.3,Seattle  Ricks 
2025,3,17,WR,Jaylen Waddle,0.7000000000000001,Parker Washington,19.0,18.3,Shooting Ropes💦
2025,11,17,FLEX,Brian Thomas Jr.,7.9,Zach Charbonnet,26.2,18.3,Seattle  Ricks 
2025,5,10,RB,Travis Etienne Jr.,15.700000000000001,TreVeyon Henderson,34.0,18.3,One-cut Heroes
2023,6,12,FLEX,Odell Beckham Jr.,6.4,Rashee Rice,24.700000000000003,18.3,Whos Yurdatty
2024,11,1,FLEX,Jaxon Smith-Njigba,3.9000000000000004,Jordan Mason,22.200000000000003,18.3,Seattle  Ricks 
2023,12,14,FLEX,Nico Collins,2.3,Jayden Reed,20.5,18.2,El Ultimo Hombre
2025,7,3,TE,Dalton Schultz,8.9,Mark Andrews,27.1,18.2,Allen to this!
2024,11,15,WR,DK Metcalf,5.800000000000001,Rashod Bateman,24.0,18.2,Seattle  Ricks 
2022,1,13,RB,Kyren Williams,0.9,Cam Akers,19.0,18.1,D. Adams Family
2025,10,10,FLEX,Courtland Sutton,5.4,Emeka Egbuka,23.5,18.1,Team Clucker Fuckers
2023,7,17,FLEX,Gabe Davis,4.1,Justice Hill,22.200000000000003,18.1,Put it Justin??
2022,2,5,FLEX,Russell Gage,6.0,Jakobi Meyers,24.1,18.1,Show Me Dem TDs
2022,12,17,WR,Justin Jefferson,2.5,Richie James,20.6,18.1,Shart City Poo Bums
2025,6,14,RB,Kareem Hunt,9.0,Blake Corum,27.1,18.1,Whos Yurdatty
2022,1,14,D/ST,Seahawks D/ST,1.0,Patriots D/ST,19.0,18.0,D. Adams Family
2023,8,12,D/ST,Commanders D/ST,-5.0,Patriots D/ST,13.0,18.0,False Shart
2023,2,5,D/ST,Bills D/ST,5.0,Saints D/ST,23.0,18.0,Show Me Dem TDs
2022,2,11,FLEX,Jerick McKinnon,1.4000000000000004,Wan'Dale Robinson,19.4,18.0,Show Me Dem TDs
2022,9,17,FLEX,Garrett Wilson,4.8,Jamaal Williams,22.7,17.9,Slim Pickins
2025,6,3,FLEX,Zay Flowers,3.3,Jake Ferguson,21.200000000000003,17.9,Whos Yurdatty
2023,10,15,FLEX,Zay Flowers,1.7000000000000002,Hunter Henry,19.6,17.9,Team Clucker Fuckers
2023,12,8,FLEX,D'Onta Foreman,4.6000000000000005,Taysom Hill,22.46,17.86,El Ultimo Hombre
2022,1,13,RB,Gus Edwards,1.2000000000000002,Cam Akers,19.0,17.8,D. Adams Family
2025,9,7,WR,Tetairoa McMillan,6.300000000000001,Travis Hunter,24.1,17.8,Cartel Del Taco
2023,6,5,RB,Alvin Kamara,18.7,Zack Moss,36.5,17.8,Whos Yurdatty
2022,2,5,WR,JuJu Smith-Schuster,6.300000000000001,Jakobi Meyers,24.1,17.8,Show Me Dem TDs
2022,10,6,RB,Kareem Hunt,1.2000000000000002,Kenneth Walker III,19.000000000000004,17.8,Team Clucker Fuckers
2022,4,3,FLEX,Najee Harris,13.100000000000001,Khalil Herbert,30.900000000000002,17.8,Greendale Human Beings
2024,5,5,WR,Jayden Reed,13.700000000000001,Darnell Mooney,31.5,17.8,One-cut Heroes
2023,10,2,FLEX,Breece Hall,0.9,Drake London,18.7,17.8,Team Clucker Fuckers
2024,7,4,RB,Breece Hall,3.8,Justice Hill,21.6,17.8,Cee Dees in the Face
2024,7,14,QB,Will Levis,7.02,Matthew Stafford,24.8,17.78,Cee Dees in the Face
2025,11,13,TE,Cade Otton,2.9,Zach Ertz,20.6,17.7,Seattle  Ricks 
2025,9,2,FLEX,Omarion Hampton,3.5000000000000004,Rhamondre Stevenson,21.200000000000003,17.7,Cartel Del Taco
2022,5,15,FLEX,Isaiah McKenzie,4.4,AJ Dillon,22.1,17.7,One-cut Heroes
2025,3,10,FLEX,Romeo Doubs,1.5,Juwan Johnson,19.200000000000003,17.7,Shooting Ropes💦
2024,9,8,FLEX,DJ Moore,5.4,Marvin Harrison Jr.,23.1,17.7,Cartel Del Taco
2023,11,3,WR,Tyler Lockett,8.4,Mike Williams,26.1,17.7,Seattle  Ricks 
2023,10,1,WR,Drake London,0.0,Zay Flowers,17.700000000000003,17.7,Team Clucker Fuckers
2025,1,17,QB,Jared Goff,4.08,C.J. Stroud,21.759999999999998,17.68,"Two Gibbs, One Kupp"
2023,8,11,RB,Travis Etienne Jr.,8.899999999999999,Jaylen Warren,26.5,17.6,False Shart
2022,11,11,WR,Brandon Aiyuk,16.0,Joshua Palmer,33.6,17.6,Seattle  Ricks 
2025,6,13,FLEX,Tre Tucker,5.0,Terry McLaurin,22.6,17.6,Whos Yurdatty
2024,7,13,QB,Kirk Cousins,2.1000000000000014,Matthew Stafford,19.62,17.52,Cee Dees in the Face
2024,8,6,FLEX,Alec Pierce,0.0,Alexander Mattison,17.5,17.5,Here's to you
2025,12,4,RB,Kyren Williams,10.399999999999999,Woody Marks,27.9,17.5,Blunder Bust 2000
2024,1,4,FLEX,Tee Higgins,12.0,D'Andre Swift,29.5,17.5,LaPorta Potty
