season,team_id,week,actual_points,optimal_points,points_left_on_bench,efficiency_pct,team_name
2022,12,6,130.62,135.42,4.799999999999983,96.5,Shart City Poo Bums
2022,1,7,118.54,132.74,14.200000000000003,89.3,D. Adams Family
2022,2,7,152.85999999999999,154.86,2.0000000000000284,98.7,Show Me Dem TDs
2022,3,7,143.44,152.84,9.400000000000006,93.8,Kareemin' My Jeans
2022,4,7,104.84,116.22000000000001,11.38000000000001,90.2,Greendale Human Beings
2022,5,7,91.28,100.08,8.799999999999997,91.2,One-cut Heroes
2022,6,7,122.39999999999999,138.29999999999998,15.899999999999991,88.5,Whos Yurdatty
2022,7,7,133.95999999999998,133.96,2.842170943040401e-14,100.0,Worst Cook
2022,8,7,116.7,126.50000000000001,9.800000000000011,92.3,False Shart
2022,9,7,110.67999999999999,119.58,8.900000000000006,92.6,Slim Pickins
2022,10,7,172.92000000000002,188.61999999999998,15.69999999999996,91.7,Team Clucker Fuckers
2022,11,7,154.92000000000002,163.34,8.419999999999987,94.8,Seattle  Ricks 
2022,12,7,109.32000000000001,109.32,-1.4210854715202004e-14,100.0,Shart City Poo Bums
2022,1,8,96.17999999999999,119.88000000000001,23.700000000000017,80.2,D. Adams Family
2022,2,8,152.84,163.54,10.699999999999989,93.5,Show Me Dem TDs
2022,3,8,215.3,215.29999999999998,-2.842170943040401e-14,100.0,Kareemin' My Jeans
2022,4,8,160.33999999999997,183.44000000000003,23.10000000000005,87.4,Greendale Human Beings
2022,5,8,102.00000000000001,107.40000000000002,5.400000000000006,95.0,One-cut Heroes
2022,6,8,145.22,166.82000000000002,21.600000000000023,87.1,Whos Yurdatty
2022,7,8,120.98,122.48000000000002,1.5000000000000142,98.8,Worst Cook
2022,8,8,144.02000000000004,171.38000000000002,27.359999999999985,84.0,False Shart
2022,9,8,140.0,168.5,28.5,83.1,Slim Pickins
2022,10,8,137.9,142.8,4.900000000000006,96.6,Team Clucker Fuckers
2022,11,8,196.38000000000002,200.76,4.379999999999967,97.8,Seattle  Ricks 
2022,12,8,108.78,123.18,14.400000000000006,88.3,Shart City Poo Bums
2022,1,9,168.74,174.26,5.519999999999982,96.8,D. Adams Family
2022,2,9,136.60000000000002,145.20000000000002,8.599999999999994,94.1,Show Me Dem TDs
2022,3,9,158.22000000000003,158.22,-2.842170943040401e-14,100.0,Kareemin' My Jeans
2022,4,9,121.68000000000002,121.68,-1.4210854715202004e-14,100.0,Greendale Human Beings
2022,5,9,67.38000000000001,80.68,13.299999999999997,83.5,One-cut Heroes
2022,6,9,114.82000000000002,129.52,14.699999999999989,88.7,Whos Yurdatty
2022,7,9,158.74,182.44,23.69999999999999,87.0,Worst Cook
2022,8,9,110.1,114.10000000000001,4.000000000000014,96.5,False Shart
2022,9,9,113.4,122.50000000000001,9.100000000000009,92.6,Slim Pickins
2022,10,9,125.84,128.44,2.5999999999999943,98.0,Team Clucker Fuckers
2022,11,9,115.12,134.9,19.78,85.3,Seattle  Ricks 
2022,12,9,123.52,130.22,6.700000000000003,94.9,Shart City Poo Bums
2022,1,10,157.82000000000002,161.52,3.6999999999999886,97.7,D. Adams Family
2022,2,10,105.76,114.06,8.299999999999997,92.7,Show Me Dem TDs
2022,3,10,111.30000000000001,123.4,12.099999999999994,90.2,Kareemin' My Jeans
2022,4,10,110.0,125.0,15.0,88.0,Greendale Human Beings
2022,5,10,125.5,133.90000000000003,8.400000000000034,93.7,One-cut Heroes
2022,6,10,139.56,147.26000000000002,7.700000000000017,94.8,Whos Yurdatty
2022,7,10,113.28,123.16,9.879999999999995,92.0,Worst Cook
2022,8,10,111.2,127.1,15.899999999999991,87.5,False Shart
2022,9,10,144.18,149.48000000000002,5.300000000000011,96.5,Slim Pickins
2022,10,10,110.14,113.14000000000001,3.000000000000014,97.3,Team Clucker Fuckers
2022,11,10,132.94,149.08,16.140000000000015,89.2,Seattle  Ricks 
2022,12,10,162.98,177.58,14.600000000000023,91.8,Shart City Poo Bums
2022,1,11,167.3,183.10000000000002,15.800000000000011,91.4,D. Adams Family
2022,2,11,74.5,125.2,50.7,59.5,Show Me Dem TDs
2022,3,11,141.66000000000003,141.66000000000003,0.0,100.0,Kareemin' My Jeans
2022,4,11,134.12,138.01999999999998,3.8999999999999773,97.2,Greendale Human Beings
2022,5,11,92.64,100.94,8.299999999999997,91.8,One-cut Heroes
2022,6,11,135.85999999999999,156.45999999999998,20.599999999999994,86.8,Whos Yurdatty
2022,7,11,132.68,160.18,27.5,82.8,Worst Cook
2022,8,11,104.48,119.98,15.5,87.1,False Shart
2022,9,11,147.74,153.4,5.659999999999997,96.3,Slim Pickins
2022,10,11,128.76,131.76,3.0,97.7,Team Clucker Fuckers
